time,open,high,low,close,Volume,Volume MA
2016-04-22T00:00:00Z,452.25,452.95,445.07,448.41,6797,5205.85
2016-04-23T00:00:00Z,448.57,455.84,447.03,455.69,4589,5275.35
2016-04-24T00:00:00Z,455.68,465,454.55,464.46,6127,5317.8
2016-04-25T00:00:00Z,464.47,472.38,454.65,466.17,9466,5506.35
2016-04-26T00:00:00Z,466.17,472.11,464.01,470.59,7439,5619.3
2016-04-27T00:00:00Z,470.3,470.79,440.94,445.31,11253,5933.45
2016-04-28T00:00:00Z,445.3,451.88,434.79,451.68,7613,5993.7
2016-04-29T00:00:00Z,451.67,459.44,448.5,458.82,5927,6117.65
2016-04-30T00:00:00Z,458.8,459.33,450.13,454.02,4661,6204.45
2016-05-01T00:00:00Z,454.02,457.07,451.55,456.98,2878,6095.4
2016-05-02T00:00:00Z,456.98,457.63,440.02,446.42,7666,6130.65
2016-05-03T00:00:00Z,446.53,453.29,443.61,452.23,5864,6130.75
2016-05-04T00:00:00Z,452.21,453.23,446.76,448.68,4845,6137.85
2016-05-05T00:00:00Z,448.59,451.56,447,449.98,5285,6195.2
2016-05-06T00:00:00Z,449.99,463.73,448.84,462.31,6151,6298.8
2016-05-07T00:00:00Z,462.31,464,459.55,461.91,3414,6308.55
2016-05-08T00:00:00Z,461.91,465,457.5,462.79,3226,6208.15
2016-05-09T00:00:00Z,462.6,465.9,459.41,464.16,5841,6191.2
2016-05-10T00:00:00Z,464.15,465,448.2,452.78,6784,6175.05
2016-05-11T00:00:00Z,452.77,458.65,452.5,454.37,5720,6077.3
2016-05-12T00:00:00Z,454.56,456.57,449.27,456.48,6068,6040.85
2016-05-13T00:00:00Z,456.48,458.03,453.84,457.98,5350,6078.9
2016-05-14T00:00:00Z,457.97,459.83,456,458.9,3232,5934.15
2016-05-15T00:00:00Z,458.9,463.62,458.49,461.47,3201,5620.9
2016-05-16T00:00:00Z,461.48,461.59,451.48,455.66,6000,5548.95
2016-05-17T00:00:00Z,455.64,457.49,452.2,454.19,5996,5286.1
2016-05-18T00:00:00Z,454.19,457.88,453.6,455.56,5470,5178.95
2016-05-19T00:00:00Z,455.56,456.41,435,438.38,8366,5300.9
2016-05-20T00:00:00Z,437.91,445.85,435.5,445.65,7150,5425.35
2016-05-21T00:00:00Z,445.52,446.99,441.88,446.28,3913,5477.1
2016-05-22T00:00:00Z,446.27,446.45,440.89,442.48,3720,5279.8
2016-05-23T00:00:00Z,442.45,446.3,440.79,445.67,5624,5267.8
2016-05-24T00:00:00Z,445.56,448.5,440.5,446.99,6488,5349.95
2016-05-25T00:00:00Z,446.98,452.42,446.86,451.49,6119,5391.65
2016-05-26T00:00:00Z,451.45,454.99,449,454.97,5825,5375.35
2016-05-27T00:00:00Z,454.97,476.75,454.35,471.27,9857,5697.5
2016-05-28T00:00:00Z,471.21,539.49,470.13,523.25,12049,6138.65
2016-05-29T00:00:00Z,523.35,549.99,492.91,525.22,9815,6337.35
2016-05-30T00:00:00Z,525.22,541,519,532.55,5921,6294.2
2016-05-31T00:00:00Z,532.56,544.9,520.01,531.34,8494,6432.9
2016-06-01T00:00:00Z,531.25,541.5,524.39,534.84,5680,6413.5
2016-06-02T00:00:00Z,534.85,541.2,531.86,537.87,6295,6460.75
2016-06-03T00:00:00Z,538.06,578,535.96,571.25,10168,6807.55
2016-06-04T00:00:00Z,571.09,594.64,564.29,576.31,6896,6992.3
